** CONVERTED FROM demo01_2023_01_20_19_48.EDF using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Mon Jan 23 11:00:12 2023
** DATE: Fri Jan 20 19:48:05 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.31 Nov 25 2008
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-92827
** CAMERA_CONFIG: 92827140.SCD
** RECORDED BY mlcm_experiment_with_eyetracker.py
**

MSG	603622 DISPLAY_COORDS  0 0 1919 1079
INPUT	617388	120
INPUT	632926	120
INPUT	669473	120
INPUT	683047	120
INPUT	699691	120
MSG	699949 TRIALID 0
INPUT	700006	120
INPUT	704667	120
MSG	704706 RECCFG CR 1000 1 1 L
MSG	704706 ELCLCFG BTABLER
MSG	704706 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	704706 THRESHOLDS L 96 244
MSG	704706 ELCL_PROC ELLIPSE  (5)
MSG	704706 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	704707 !MODE RECORD CR 1000 1 1 L
START	704708 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	704708	120
704823	  995.5	  490.8	 3525.0	...
704824	  995.6	  491.9	 3527.0	...
704825	  995.7	  492.0	 3528.0	...
704826	  996.5	  492.1	 3530.0	...
704827	  996.5	  492.3	 3532.0	...
704828	  997.0	  492.3	 3532.0	...
704829	  996.8	  492.6	 3532.0	...
704830	  996.6	  492.6	 3526.0	...
704831	  996.6	  492.6	 3526.0	...
704832	  996.5	  492.6	 3536.0	...
704833	  996.4	  487.4	 3536.0	...
704834	  996.4	  487.4	 3539.0	...
704835	  997.4	  492.2	 3539.0	...
704836	  997.4	  492.5	 3531.0	...
704837	  997.4	  492.5	 3530.0	...
704838	  997.2	  492.4	 3530.0	...
704839	  997.3	  492.3	 3543.0	...
704840	  997.3	  492.4	 3543.0	...
704841	  997.5	  492.6	 3543.0	...
704842	  997.8	  491.7	 3537.0	...
704843	  996.7	  491.6	 3537.0	...
704844	  996.8	  494.9	 3537.0	...
704845	  996.8	  494.9	 3536.0	...
704846	  997.6	  494.0	 3536.0	...
704847	  997.6	  493.4	 3535.0	...
704848	  996.6	  493.4	 3534.0	...
704849	  996.6	  493.9	 3535.0	...
704850	  996.8	  493.9	 3535.0	...
704851	  997.0	  492.7	 3535.0	...
704852	  997.2	  492.8	 3536.0	...
704853	  997.3	  494.2	 3537.0	...
704854	  997.3	  494.2	 3537.0	...
704855	  997.1	  494.9	 3537.0	...
704856	  996.9	  494.9	 3537.0	...
704857	  997.1	  490.8	 3537.0	...
704858	  997.3	  490.8	 3537.0	...
