** CONVERTED FROM demo00.EDF using edfapi 4.2.1.0 Linux   standalone Jun 18 2021 on Thu Jul 20 11:54:04 2023
** DATE: Thu Jul 20 10:42:47 2023
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.31 Nov 25 2008
** CAMERA: EyeLink CL Version 1.4 Sensor=BJF
** SERIAL NUMBER: CL1-92827
** CAMERA_CONFIG: 92827140.SCD
** RECORDED BY mlcm_experiment_with_eyetracker.py
**

MSG	427082 DISPLAY_COORDS  0 0 1919 1079
INPUT	431643	120
INPUT	453379	120
MSG	455733 TRIALID 0
INPUT	455792	120
INPUT	462314	120
MSG	462354 RECCFG CR 1000 1 1 R
MSG	462354 ELCLCFG BTABLER
MSG	462354 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	462354 THRESHOLDS R 97 242
MSG	462354 ELCL_PROC ELLIPSE  (5)
MSG	462354 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	462355 !MODE RECORD CR 1000 1 1 R
START	462356 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	1
INPUT	462356	120
462473	  982.2	  547.3	 1731.0	...
462474	  983.0	  547.3	 1731.0	...
462475	  983.0	  552.2	 1726.0	...
462476	  982.9	  554.2	 1728.0	...
462477	  983.5	  554.2	 1728.0	...
462478	  983.5	  549.8	 1728.0	...
462479	  983.0	  549.9	 1731.0	...
462480	  982.4	  550.7	 1736.0	...
462481	  981.9	  551.6	 1736.0	...
462482	  981.9	  551.5	 1733.0	...
462483	  983.1	  551.5	 1734.0	...
462484	  983.2	  551.9	 1734.0	...
462485	  983.2	  551.9	 1737.0	...
462486	  984.2	  552.3	 1737.0	...
462487	  984.2	  552.7	 1733.0	...
462488	  984.1	  552.8	 1733.0	...
462489	  985.2	  552.7	 1733.0	...
462490	  985.2	  550.8	 1730.0	...
462491	  984.7	  551.2	 1730.0	...
462492	  984.8	  551.2	 1730.0	...
462493	  984.8	  550.5	 1739.0	...
462494	  981.0	  550.6	 1739.0	...
462495	  981.0	  551.0	 1732.0	...
462496	  980.8	  551.0	 1732.0	...
462497	  980.8	  550.2	 1738.0	...
462498	  981.1	  550.4	 1736.0	...
462499	  981.7	  550.4	 1734.0	...
462500	  981.7	  549.5	 1734.0	...
462501	  982.4	  549.4	 1733.0	...
462502	  982.4	  552.9	 1733.0	...
MSG	462503 image_onset
462503	  980.3	  553.0	 1732.0	...
462504	  978.1	  553.1	 1732.0	...
462505	  978.1	  549.3	 1733.0	...
462506	  978.9	  549.3	 1733.0	...
462507	  979.8	  548.0	 1733.0	...
462508	  981.0	  547.9	 1734.0	...
462509	  981.0	  550.6	 1735.0	...
462510	  981.0	  550.6	 1737.0	...
462511	  979.8	  550.6	 1738.0	...
462512	  979.8	  550.5	 1738.0	...
462513	  979.1	  551.7	 1737.0	...
462514	  979.1	  551.7	 1737.0	...
462515	  981.9	  552.6	 1744.0	...
462516	  981.9	  552.4	 1744.0	...
462517	  977.7	  552.6	 1741.0	...
462518	  977.7	  552.6	 1741.0	...
462519	  979.2	  552.6	 1734.0	...
462520	  981.0	  552.5	 1734.0	...
462521	  981.1	  547.2	 1736.0	...
462522	  981.1	  547.2	 1737.0	...
462523	  978.6	  551.4	 1740.0	...
462524	  978.6	  551.4	 1742.0	...
462525	  979.1	  548.7	 1742.0	...
462526	  979.1	  548.7	 1749.0	...
462527	  979.1	  548.4	 1749.0	...
462528	  978.9	  548.2	 1748.0	...
462529	  978.9	  548.2	 1748.0	...
462530	  977.9	  553.1	 1746.0	...
462531	  977.9	  553.1	 1743.0	...
462532	  979.9	  552.7	 1740.0	...
462533	  980.4	  552.4	 1740.0	...
462534	  980.9	  552.6	 1750.0	...
462535	  980.1	  552.6	 1750.0	...
462536	  980.1	  550.5	 1751.0	...
462537	  982.4	  550.4	 1752.0	...
462538	  982.4	  550.4	 1752.0	...
462539	  982.1	  550.4	 1752.0	...
462540	  982.0	  548.1	 1752.0	...
462541	  981.8	  548.1	 1752.0	...
462542	  979.8	  549.6	 1750.0	...
462543	  979.8	  551.0	 1751.0	...
462544	  979.9	  551.4	 1751.0	...
462545	  979.9	  551.3	 1751.0	...
462546	  979.9	  551.3	 1747.0	...
462547	  979.4	  549.9	 1747.0	...
462548	  979.4	  548.6	 1747.0	...
462549	  979.7	  548.6	 1749.0	...
462550	  980.0	  549.3	 1751.0	...
462551	  981.7	  549.9	 1751.0	...
462552	  981.7	  551.3	 1751.0	...
462553	  981.7	  549.9	 1751.0	...
462554	  979.5	  549.9	 1751.0	...
462555	  979.2	  549.9	 1751.0	...
462556	  979.2	  552.3	 1752.0	...
462557	  980.4	  552.3	 1752.0	...
462558	  980.4	  552.2	 1761.0	...
462559	  981.3	  552.1	 1761.0	...
462560	  981.3	  552.1	 1761.0	...
462561	  981.3	  552.6	 1762.0	...
462562	  978.5	  552.7	 1762.0	...
