block,trial,alpha1,alpha2,tau1,tau2,Response,resp.time,timestamp
0,0,0.4,0.4,6.023,5.048,1,2882,1689856148.5789778
0,1,0.4,0.4,5.048,1.152,1,5188,1689856158.4036617
0,2,0.1,0.4,4.074,5.048,1,1311,1689856165.2334666
0,3,0.2,0.2,5.048,2.126,1,2774,1689856181.151134
0,4,0.2,0.05,5.048,3.59,0,842,1689856188.4244998
