block,trial,alpha1,alpha2,tau1,tau2,Response,resp.time,timestamp
1,0,0.05,0.1,4.561,3.59,1,3663,1689848072.5707028
1,1,0.4,0.4,2.126,6.023,0,1889,1689848096.2020338
1,2,0.4,0.2,4.561,6.023,0,2668,1689848105.7687275
1,3,0.05,0.05,1.152,5.048,0,2041,1689848114.679247
1,4,0.05,0.4,6.997,3.59,1,1573,1689848120.1954498
