block,trial,alpha1,alpha2,tau1,tau2,Response,resp.time,timestamp
0,0,0.4,0.4,6.023,5.048,1,4920,1689846274.2274356
0,1,0.4,0.4,5.048,1.152,0,1207,1689846282.4112396
0,2,0.1,0.4,4.074,5.048,1,1569,1689846288.4435954
0,3,0.2,0.2,5.048,2.126,1,1891,1689846295.151472
0,4,0.2,0.05,5.048,3.59,0,1779,1689846301.0412836
